Sample	Target	Reads
N21	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	1914
N21	paramoeba_mito_scf7180000003282_5381-6781_1	164912
N21	paramoeba_nuc_scf7180000004653_9090-9584_1	343170
N22	paramoeba_mito_scf7180000003282_17181-17683_1	51636
N22	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	2045
N22	paramoeba_nuc_scf7180000003537_4360-5238_1	18401
N22	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	69056
N22	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	24250
N22	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	160687
N22	paramoeba_mito_scf7180000003282_72335-73819_451	28716
N22	paramoeba_mito_scf7180000003282_2577-3764_451	9089
N22	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	24044
N22	paramoeba_mito_scf7180000003282_37622-38599_451	3208
N22	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	15032
N22	perk_nuc_scf7180000003402_73894-74460_1	232146
N22	perk_nuc_scf7180000003591_3416-4408_1-990_1	46593
N22	perk_nuc_scf7180000003623_28906-30006_1-1100_1	21980
N22	perk_nuc_scf7180000003752_5410-7175_739-1757_1	27433
N22	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N22	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	3994
N22	perk_nuc_scf7180000003402_73455-74100_1	815578
N22	perk_nuc_scf7180000003352_71298-72206_1-908_1	848881
N22	perk_nuc_scf7180000003591_3414-9913_1-2291_901	11779
N22	perk_nuc_scf7180000003334_39138-40969_372-1777_1	18675
N22	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	10992
N22	perk_nuc_scf7180000003602_54737-56021_1-1284_1	174874
N22	perk_nuc_scf7180000003687_22701-24808_4-2107_901	306
N22	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	778
N22	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	372
N22	perk_nuc_scf7180000003687_22703-23724_2-1021_1	191841
N22	perk_nuc_scf7180000003411_95621-97517_1-1896_1	37256
N22	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	25897
N22	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	70084
N22	perk_nuc_scf7180000003687_28378-29539_1-1161_1	144216
N22	perk_nuc_scf7180000003660_28831-29439_1	48263
N22	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N22	perk_nuc_scf7180000003435_21523-22534_1-1011_1	15985
N22	perk_nuc_scf7180000003334_14360-15471_115-1021_1	112685
N22	paramoeba_nuc_scf7180000003402_66620-67222_1	251601
N22	perk_nuc_scf7180000003316_105075-106432_82-1354_1	111828
N22	paramoeba_nuc_scf7180000003517_25093-25627_1	10021
N22	perk_nuc_scf7180000003478_19048-20119_1-1071_1	18892
N22	perk_nuc_scf7180000003897_23035-23940_1-905_1	23508
N22	perk_nuc_scf7180000003532_6044-7296_4-1252_1	112015
N22	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	10094
N22	perk_nuc_scf7180000003402_72046-72895_1	9592
N22	perk_nuc_scf7180000003709_72424-73568_3-1144_1	82277
N22	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	1409
N22	perk_nuc_scf7180000003560_925-2762_1-1837_901	143428
N22	perk_nuc_scf7180000003326_75881-76823_1-942_1	23397
N22	perk_nuc_scf7180000003897_16527-17683_3-1156_1	587539
N22	perk_nuc_scf7180000003913_1473-2529_1-1056_1	141019
N22	perk_nuc_scf7180000003454_34019-35215_1-1193_1	9598
N22	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	47455
